Date,temperature,radiation,total,total_filter
2021-01-04 00:00:00+00:00,1.4,0.0,3.541000000000491,2.886666666666648
2021-01-04 00:15:00+00:00,1.375,0.0,3.061999999998759,3.06200000000008
2021-01-04 00:30:00+00:00,1.35,0.0,2.5830000000009905,2.6603333333332677
2021-01-04 00:45:00+00:00,1.325,0.0,2.336000000000054,2.4320000000003694
2021-01-04 01:00:00+00:00,1.3,0.0,2.3770000000000646,2.363333333333749
2021-01-04 01:15:00+00:00,1.175,0.0,2.37700000000113,2.513666666665531
2021-01-04 01:30:00+00:00,1.05,0.0,2.7869999999954,2.4973333333325365
2021-01-04 01:45:00+00:00,0.925,0.0,2.328000000001082,2.409333333332103
2021-01-04 02:00:00+00:00,0.8,0.0,2.112999999999828,2.3136666666678543
2021-01-04 02:15:00+00:00,0.7000000000000001,0.0,2.500000000002655,2.284333333333832
2021-01-04 02:30:00+00:00,0.6000000000000001,0.0,2.239999999999012,2.296999999999843
2021-01-04 02:45:00+00:00,0.5,0.0,2.1509999999978624,2.159249999998168
2021-01-04 03:00:00+00:00,0.38125,0.0,2.0867499999976307,2.0867499999976302
2021-01-04 03:15:00+00:00,0.2625,0.0,2.0224999999973985,2.022499999997398
2021-01-04 03:30:00+00:00,0.14375,0.0,1.9582499999971668,1.9582499999971663
2021-01-04 03:45:00+00:00,0.025,0.0,1.893999999996935,2.0114166666656854
2021-01-04 04:00:00+00:00,-0.1,0.0,2.182000000002956,2.152666666666821
2021-01-04 04:15:00+00:00,-0.15,0.0,2.382000000000573,2.256333333333551
2021-01-04 04:30:00+00:00,-0.2,0.0,2.204999999997127,2.1936666666654863
2021-01-04 04:45:00+00:00,-0.25,0.0,1.993999999998761,2.11966666666563
2021-01-04 05:00:00+00:00,-0.3,0.0,2.160000000001004,2.0900000000011048
2021-01-04 05:15:00+00:00,-0.35,0.0,2.1160000000035506,2.3580000000011343
2021-01-04 05:30:00+00:00,-0.4,0.0,2.7979999999988503,2.4296666666678166
2021-01-04 05:45:00+00:00,-0.45,0.0,2.37500000000105,2.8499999999996413
2021-01-04 06:00:00+00:00,-0.5,0.0,3.376999999999027,2.956666666666097
2021-01-04 06:15:00+00:00,-0.525,0.0,3.117999999998217,3.060666666665954
2021-01-04 06:30:00+00:00,-0.55,0.0,2.6870000000006207,2.8236666666665085
2021-01-04 06:45:00+00:00,-0.575,0.0,2.6660000000006905,2.628000000000936
2021-01-04 07:00:00+00:00,-0.6,0.0,2.5310000000014967,2.825666666666793
2021-01-04 07:15:00+00:00,-0.1999999999999999,4.25,3.2799999999981924,3.223666666666912
2021-01-04 07:30:00+00:00,0.2,8.5,3.8600000000010497,3.710666666665552
2021-01-04 07:45:00+00:00,0.6000000000000002,12.750000000000002,3.991999999997416,4.241666666666266
2021-01-04 08:00:00+00:00,1.0,17.0,4.873000000000333,4.641666666666181
2021-01-04 08:15:00+00:00,1.9,49.75,5.0600000000007945,5.005333333333376
2021-01-04 08:30:00+00:00,2.8,82.5,5.082999999999004,5.266000000000031
2021-01-04 08:45:00+00:00,3.7,115.25,5.655000000000297,5.391000000000273
2021-01-04 09:00:00+00:00,4.6,148.0,5.435000000001518,5.548666666666949
2021-01-04 09:15:00+00:00,5.475,186.5,5.555999999999032,5.4793333333333125
2021-01-04 09:30:00+00:00,6.35,225.0,5.44699999999939,5.6320000000004535
2021-01-04 09:45:00+00:00,7.225,263.5,5.893000000002941,5.760999999999932
2021-01-04 10:00:00+00:00,8.1,302.0,5.942999999997464,5.79400000000133
2021-01-04 10:15:00+00:00,8.65,332.0,5.54600000000359,5.784666666666623
2021-01-04 10:30:00+00:00,9.2,362.0,5.864999999998815,5.319333333334004
2021-01-04 10:45:00+00:00,9.75,392.0,4.546999999999609,5.011666666665697
2021-01-04 11:00:00+00:00,10.3,422.0,4.622999999998669,4.5213333333329055
2021-01-04 11:15:00+00:00,10.8,439.5,4.394000000000441,4.479333333333142
2021-01-04 11:30:00+00:00,11.3,457.0,4.421000000000319,4.304333333333255
2021-01-04 11:45:00+00:00,11.8,474.5,4.097999999999008,4.203333333334036
2021-01-04 12:00:00+00:00,12.3,492.0,4.091000000002781,4.035333333334104
2021-01-04 12:15:00+00:00,12.6,485.0,3.917000000000524,4.222666666667411
2021-01-04 12:30:00+00:00,12.9,478.0,4.659999999998931,4.509333333333076
2021-01-04 12:45:00+00:00,13.2,471.0,4.950999999999776,5.035666666666232
2021-01-04 13:00:00+00:00,13.5,464.0,5.495999999999991,5.22766666666576
2021-01-04 13:15:00+00:00,13.625,443.25,5.235999999997516,5.150666666666779
2021-01-04 13:30:00+00:00,13.75,422.5,4.72000000000283,4.644333333333288
2021-01-04 13:45:00+00:00,13.875,401.75,3.976999999999519,4.529000000001066
2021-01-04 14:00:00+00:00,14.0,381.0,4.89000000000085,4.726666666666798
2021-01-04 14:15:00+00:00,13.95,357.25,5.313000000000028,5.099666666666416
2021-01-04 14:30:00+00:00,13.9,333.5,5.095999999998372,5.265999999998906
2021-01-04 14:45:00+00:00,13.85,309.75,5.388999999998319,5.1656666666657935
2021-01-04 15:00:00+00:00,13.8,286.0,5.012000000000694,5.202000000000452
2021-01-04 15:15:00+00:00,13.525,254.5,5.205000000002343,4.659333333334078
2021-01-04 15:30:00+00:00,13.25,223.0,3.760999999999197,4.28466666666763
2021-01-04 15:45:00+00:00,12.975,191.5,3.888000000001352,4.04633333333365
2021-01-04 16:00:00+00:00,12.7,160.0,4.490000000000403,4.682333333333498
2021-01-04 16:15:00+00:00,12.25,127.5,5.668999999998742,4.897666666666022
2021-01-04 16:30:00+00:00,11.8,95.0,4.533999999998922,5.214999999999553
2021-01-04 16:45:00+00:00,11.35,62.5,5.442000000000997,5.037333333333469
2021-01-04 17:00:00+00:00,10.9,30.0,5.136000000000489,4.943333333334574
2021-01-04 17:15:00+00:00,10.7,22.5,4.252000000002239,4.518666666666572
2021-01-04 17:30:00+00:00,10.5,15.0,4.167999999996991,4.417666666667138
2021-01-04 17:45:00+00:00,10.3,7.5,4.833000000002185,4.234999999998917
2021-01-04 18:00:00+00:00,10.1,0.0,3.703999999997576,4.369999999999425
2021-01-04 18:15:00+00:00,9.8,0.0,4.572999999998514,4.197333333332672
2021-01-04 18:30:00+00:00,9.5,0.0,4.315000000001927,4.480666666666799
2021-01-04 18:45:00+00:00,9.2,0.0,4.553999999999954,4.751999999999569
2021-01-04 19:00:00+00:00,8.9,0.0,5.386999999996827,5.650333333332657
2021-01-04 19:15:00+00:00,8.475,0.0,7.010000000001193,5.962666666666166
2021-01-04 19:30:00+00:00,8.05,0.0,5.491000000000478,5.750000000000731
2021-01-04 19:45:00+00:00,7.625,0.0,4.749000000000523,5.081999999999954
2021-01-04 20:00:00+00:00,7.2,0.0,5.00599999999886,4.8510000000004005
2021-01-04 20:15:00+00:00,7.225,0.0,4.79800000000182,5.393333333332876
2021-01-04 20:30:00+00:00,7.25,0.0,6.375999999997947,5.561333333333333
2021-01-04 20:45:00+00:00,7.275,0.0,5.5100000000002325,5.908333333333263
2021-01-04 21:00:00+00:00,7.3,0.0,5.839000000001612,5.569666666667017
2021-01-04 21:15:00+00:00,7.25,0.0,5.359999999999208,5.54666666666725
2021-01-04 21:30:00+00:00,7.199999999999999,0.0,5.441000000000935,5.299000000000074
2021-01-04 21:45:00+00:00,7.15,0.0,5.096000000000082,5.242000000000494
2021-01-04 22:00:00+00:00,7.1,0.0,5.189000000000466,5.283333333333779
2021-01-04 22:15:00+00:00,6.9,0.0,5.565000000000789,5.214999999998841
2021-01-04 22:30:00+00:00,6.699999999999999,0.0,4.890999999995269,4.977999999999435
2021-01-04 22:45:00+00:00,6.5,0.0,4.478000000002249,4.703999999999199
2021-01-04 23:00:00+00:00,6.3,0.0,4.743000000000079,4.418000000000363
2021-01-04 23:15:00+00:00,6.025,0.0,4.032999999998764,4.303999999999422
2021-01-04 23:30:00+00:00,5.75,0.0,4.135999999999424,4.238333333333048
2021-01-04 23:45:00+00:00,5.475,0.0,4.546000000000956,4.073666666667223
2021-01-05 00:00:00+00:00,5.2,0.0,3.5390000000012924,3.7900000000008975
2021-01-05 00:15:00+00:00,5.125,0.0,3.2850000000004487,3.349333333333483
2021-01-05 00:30:00+00:00,5.050000000000001,0.0,3.223999999998709,2.851999999999489
2021-01-05 00:45:00+00:00,4.9750000000000005,0.0,2.046999999999312,2.5633333333331128
2021-01-05 01:00:00+00:00,4.9,0.0,2.4190000000013177,2.2240000000007067
2021-01-05 01:15:00+00:00,4.7,0.0,2.206000000001492,2.3560000000004
2021-01-05 01:30:00+00:00,4.5,0.0,2.4429999999983893,2.245666666666814
2021-01-05 01:45:00+00:00,4.3,0.0,2.0880000000005623,2.268333333333533
2021-01-05 02:00:00+00:00,4.1,0.0,2.274000000001648,2.348999999999467
2021-01-05 02:15:00+00:00,3.975,0.0,2.6849999999961907,2.4733333333329663
2021-01-05 02:30:00+00:00,3.85,0.0,2.461000000001061,2.837666666666125
2021-01-05 02:45:00+00:00,3.725,0.0,3.3670000000011244,2.9982500000009336
2021-01-05 03:00:00+00:00,3.54375,0.0,3.166750000000616,3.1667500000006155
2021-01-05 03:15:00+00:00,3.3625,0.0,2.9665000000001074,2.966500000000107
2021-01-05 03:30:00+00:00,3.18125,0.0,2.7662499999995998,2.7662499999995998
2021-01-05 03:45:00+00:00,3.0,0.0,2.565999999999091,2.489083333332722
2021-01-05 04:00:00+00:00,2.8,0.0,2.134999999999477,2.414000000000952
2021-01-05 04:15:00+00:00,2.325,0.0,2.541000000004288,2.347333333334072
2021-01-05 04:30:00+00:00,1.85,0.0,2.3659999999984502,2.545000000000072
2021-01-05 04:45:00+00:00,1.375,0.0,2.727999999997478,2.7633333333319654
2021-01-05 05:00:00+00:00,0.9,0.0,3.195999999999967,2.9106666666658967
2021-01-05 05:15:00+00:00,0.95,0.0,2.8080000000002467,3.0223333333343376
2021-01-05 05:30:00+00:00,1.0,0.0,3.0630000000028006,2.891333333333675
2021-01-05 05:45:00+00:00,1.05,0.0,2.8029999999979776,2.931333333334633
2021-01-05 06:00:00+00:00,1.1,0.0,2.9280000000031223,2.916333333332553
2021-01-05 06:15:00+00:00,0.875,0.0,3.0179999999965603,3.026666666666641
2021-01-05 06:30:00+00:00,0.65,0.0,3.134000000000241,3.468333333332469
2021-01-05 06:45:00+00:00,0.4249999999999999,0.0,4.253000000000608,3.574333333333923
2021-01-05 07:00:00+00:00,0.2,0.0,3.33600000000092,4.027666666666804
2021-01-05 07:15:00+00:00,0.575,4.25,4.493999999998887,3.9316666666675215
2021-01-05 07:30:00+00:00,0.95,8.5,3.965000000002758,4.191333333333419
2021-01-05 07:45:00+00:00,1.325,12.750000000000002,4.114999999998613,4.145333333333002
2021-01-05 08:00:00+00:00,1.7,17.0,4.355999999997633,4.306666666665948
2021-01-05 08:15:00+00:00,2.375,50.0,4.4490000000016,4.741333333332731
2021-01-05 08:30:00+00:00,3.05,83.0,5.41899999999896,5.061000000000278
2021-01-05 08:45:00+00:00,3.725,116.0,5.315000000000273,5.69533333333375
2021-01-05 09:00:00+00:00,4.4,149.0,6.352000000002016,6.294000000000158
2021-01-05 09:15:00+00:00,4.9750000000000005,188.0,7.214999999998186,6.565000000000109
2021-01-05 09:30:00+00:00,5.550000000000001,227.0,6.128000000000124,6.97633333333268
2021-01-05 09:45:00+00:00,6.125,266.0,7.58599999999973,7.281999999999962
2021-01-05 10:00:00+00:00,6.7,305.0,8.132000000000033,7.559666666667025
2021-01-05 10:15:00+00:00,7.175,336.0,6.961000000001311,7.215333333333425
2021-01-05 10:30:00+00:00,7.65,367.0,6.55299999999893,7.163333333333717
2021-01-05 10:45:00+00:00,8.125,398.0,7.976000000000909,7.314333333332979
2021-01-05 11:00:00+00:00,8.6,429.0,7.413999999999103,7.625333333332851
2021-01-05 11:15:00+00:00,9.15,445.75,7.48599999999854,7.012333333332887
2021-01-05 11:30:00+00:00,9.7,462.5,6.1370000000010165,6.830666666666443
2021-01-05 11:45:00+00:00,10.25,479.25,6.868999999999772,6.629666666666449
2021-01-05 12:00:00+00:00,10.8,496.0,6.882999999998559,6.480999999999092
2021-01-05 12:15:00+00:00,11.025,499.5,5.690999999998946,5.800666666666348
2021-01-05 12:30:00+00:00,11.25,503.0,4.828000000001538,5.74633333333428
2021-01-05 12:45:00+00:00,11.475,506.5,6.720000000002358,6.059666666667556
2021-01-05 13:00:00+00:00,11.7,510.0,6.630999999998769,7.4013333333336435
2021-01-05 13:15:00+00:00,11.775,497.5,8.852999999999806,7.170333333332674
2021-01-05 13:30:00+00:00,11.85,485.0,6.026999999999443,7.074333333333013
2021-01-05 13:45:00+00:00,11.925,472.5,6.34299999999979,6.119000000000159
2021-01-05 14:00:00+00:00,12.0,460.0,5.987000000001243,6.306666666667579
2021-01-05 14:15:00+00:00,11.95,432.0,6.590000000001706,6.280666666666849
2021-01-05 14:30:00+00:00,11.9,404.0,6.264999999997598,6.480666666666828
2021-01-05 14:45:00+00:00,11.85,376.0,6.587000000001179,6.295666666665377
2021-01-05 15:00:00+00:00,11.8,348.0,6.034999999997355,5.940666666667545
2021-01-05 15:15:00+00:00,11.55,302.75,5.200000000004103,5.304666666666933
2021-01-05 15:30:00+00:00,11.3,257.5,4.678999999999345,4.896666666667467
2021-01-05 15:45:00+00:00,11.05,212.25,4.810999999998951,4.951666666666044
2021-01-05 16:00:00+00:00,10.8,167.0,5.364999999999835,4.815333333332533
2021-01-05 16:15:00+00:00,10.675,135.25,4.269999999998814,4.704333333333264
2021-01-05 16:30:00+00:00,10.55,103.5,4.478000000001144,4.35566666666714
2021-01-05 16:45:00+00:00,10.425,71.75,4.319000000001464,4.502000000000443
2021-01-05 17:00:00+00:00,10.3,40.0,4.708999999998721,4.667000000000349
2021-01-05 17:15:00+00:00,9.55,30.0,4.973000000000863,4.924666666666322
2021-01-05 17:30:00+00:00,8.8,20.0,5.091999999999383,5.516333333332742
2021-01-05 17:45:00+00:00,8.05,10.0,6.48399999999798,5.682666666666641
2021-01-05 18:00:00+00:00,7.3,0.0,5.47200000000256,6.2206666666665145
2021-01-05 18:15:00+00:00,7.15,0.0,6.705999999999006,5.862333333333804
2021-01-05 18:30:00+00:00,7.0,0.0,5.408999999999844,5.6489999999995
2021-01-05 18:45:00+00:00,6.85,0.0,4.831999999999649,5.0143333333334725
2021-01-05 19:00:00+00:00,6.7,0.0,4.802000000000926,4.897666666666591
2021-01-05 19:15:00+00:00,6.425,0.0,5.058999999999196,5.221333333333334
2021-01-05 19:30:00+00:00,6.15,0.0,5.802999999999878,5.338999999999472
2021-01-05 19:45:00+00:00,5.875,0.0,5.154999999999341,5.341666666667156
2021-01-05 20:00:00+00:00,5.6,0.0,5.067000000002251,4.959666666666801
2021-01-05 20:15:00+00:00,5.425,0.0,4.656999999998812,5.214666666666807
2021-01-05 20:30:00+00:00,5.25,0.0,5.919999999999359,5.6089999999994085
2021-01-05 20:45:00+00:00,5.075,0.0,6.250000000000054,5.895666666665754
2021-01-05 21:00:00+00:00,4.9,0.0,5.51699999999785,5.980999999999618
2021-01-05 21:15:00+00:00,4.7250000000000005,0.0,6.176000000000949,6.052999999999848
2021-01-05 21:30:00+00:00,4.550000000000001,0.0,6.466000000000743,6.26833333333407
2021-01-05 21:45:00+00:00,4.375,0.0,6.163000000000516,5.627000000000005
2021-01-05 22:00:00+00:00,4.2,0.0,4.251999999998756,5.1533333333334745
2021-01-05 22:15:00+00:00,3.95,0.0,5.04500000000115,4.6416666666658815
2021-01-05 22:30:00+00:00,3.7,0.0,4.627999999997739,4.551999999999972
2021-01-05 22:45:00+00:00,3.45,0.0,3.983000000001027,4.252000000000074
2021-01-05 23:00:00+00:00,3.2,0.0,4.145000000001458,4.111666666667567
2021-01-05 23:15:00+00:00,3.35,0.0,4.2070000000002175,3.972666666667074
